Cell	Group	ExpLibSize
Cell1	Group1	78762.4539380512
Cell2	Group1	53479.8574495122
Cell3	Group1	64384.3379040931
Cell4	Group1	67953.0647101187
Cell5	Group1	64916.2764903244
Cell6	Group1	58616.7104854365
Cell7	Group1	81008.097637227
Cell8	Group1	58751.2784321793
Cell9	Group1	89651.4580563385
Cell10	Group1	59127.8412843886
Cell11	Group1	77728.2408827719
Cell12	Group1	94592.0845342976
Cell13	Group1	45352.8301203281
Cell14	Group1	56627.0602730538
Cell15	Group1	58298.7384239606
Cell16	Group1	67995.0426717006
Cell17	Group1	56565.2102726453
Cell18	Group1	35196.7460594054
Cell19	Group1	36750.4817825718
Cell20	Group1	77965.5755496601
Cell21	Group1	56312.5262885739
Cell22	Group1	41929.2231717295
Cell23	Group1	57850.4510134468
Cell24	Group1	76338.672728823
Cell25	Group1	87468.9097666398
Cell26	Group1	54935.0124451838
Cell27	Group1	56871.3013793669
Cell28	Group1	42081.6636888081
Cell29	Group1	65645.1808914828
Cell30	Group1	52680.5198988914
Cell31	Group1	65584.1955654917
Cell32	Group1	68938.319771702
Cell33	Group1	73645.675583322
Cell34	Group1	53008.8799601875
Cell35	Group1	66236.769924931
Cell36	Group1	42471.912929169
Cell37	Group1	51180.209255504
Cell38	Group1	50504.538431935
Cell39	Group1	36943.9977248555
Cell40	Group1	60308.2700284467
Cell41	Group1	62392.4603941208
Cell42	Group1	55702.9585492515
Cell43	Group1	69677.4940466128
Cell44	Group1	51774.8109346598
Cell45	Group1	45539.8839413855
Cell46	Group1	65288.0048331837
Cell47	Group1	50905.2512280638
Cell48	Group1	79923.1040749027
Cell49	Group1	54924.2784124218
Cell50	Group1	68263.4372655794
Cell51	Group1	63855.9505596564
Cell52	Group1	51186.5566859509
Cell53	Group1	82055.0386351683
Cell54	Group1	68089.6066224949
Cell55	Group1	60958.7161324845
Cell56	Group1	63279.0854218296
Cell57	Group1	68586.9637743094
Cell58	Group1	60959.5968701273
Cell59	Group1	32905.0685240492
Cell60	Group1	63384.6242125755
Cell61	Group1	55634.1817742832
Cell62	Group1	62133.8440967585
Cell63	Group1	67262.9433740296
Cell64	Group1	79217.0922264361
Cell65	Group1	51768.7305224532
Cell66	Group1	77692.0742313856
Cell67	Group1	64034.0097761951
Cell68	Group1	73695.8096522559
Cell69	Group1	71980.1534633308
Cell70	Group1	69159.8404325823
Cell71	Group1	48599.8737566992
Cell72	Group1	58803.8567473973
Cell73	Group1	67826.1866001257
Cell74	Group1	49478.5899360391
Cell75	Group1	53714.2837681371
Cell76	Group1	67251.8159138755
Cell77	Group1	69817.2049454567
Cell78	Group1	65693.3852125776
Cell79	Group1	50153.5581246862
Cell80	Group1	48052.2298538879
Cell81	Group1	81027.2990320151
Cell82	Group1	63043.7549617489
Cell83	Group1	60942.62006755
Cell84	Group1	58443.7885909132
Cell85	Group1	47152.1186341295
Cell86	Group1	67670.0778463816
Cell87	Group1	57329.5817762096
Cell88	Group1	57725.1745901568
Cell89	Group1	72162.0285166644
Cell90	Group1	70569.5919729746
Cell91	Group1	79096.4501848567
Cell92	Group1	54435.1419162465
Cell93	Group1	68191.1255964279
Cell94	Group1	79080.5388524376
Cell95	Group1	47946.5546189417
Cell96	Group1	50404.7896672486
Cell97	Group1	47746.0807415503
Cell98	Group1	44719.1544543323
Cell99	Group1	60839.6206196741
Cell100	Group1	68230.084477005
Cell101	Group1	76129.6491038927
Cell102	Group1	73787.913055066
Cell103	Group1	48989.3531402817
Cell104	Group1	86655.5531597183
Cell105	Group1	52399.1326791974
Cell106	Group1	61151.07755663
Cell107	Group1	55025.3255966302
Cell108	Group1	58426.7998800724
Cell109	Group1	62170.6689302258
Cell110	Group1	61318.2130762259
Cell111	Group1	59574.4154446022
Cell112	Group1	61182.3816542693
Cell113	Group1	54334.4070635126
Cell114	Group1	54130.6892996734
Cell115	Group1	42949.4956241306
Cell116	Group1	55466.4301530944
Cell117	Group1	54039.4680517887
Cell118	Group1	102783.303353231
